class_name,class_id,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,f1_score,accuracy,support,mean_confidence,min_confidence,max_confidence,fraction_of_dataset,model_preference
Apis mellifera,0,431,34,224,3081,0.9268817204301075,0.6580152671755726,0.9890850722311396,0.7696428571428572,0.9315649867374005,655,0.91940206,0.3427538,1.0,0.17374005305039789,0.123342175066313
Vanessa atalanta,1,284,58,26,3402,0.8304093567251462,0.9161290322580645,0.9832369942196532,0.8711656441717791,0.9777188328912467,310,0.97967744,0.5365973,1.0,0.08222811671087533,0.09071618037135279
Harmonia axyridis,2,233,36,33,3468,0.8661710037174721,0.8759398496240601,0.9897260273972602,0.8710280373831776,0.9816976127320954,266,0.97557753,0.52533406,1.0,0.07055702917771883,0.0713527851458886
Pieris rapae,3,226,21,36,3487,0.9149797570850202,0.8625954198473282,0.9940136830102623,0.888015717092338,0.9848806366047745,262,0.970801,0.53886485,1.0,0.06949602122015915,0.06551724137931035
Coccinella septempunctata,4,158,17,32,3563,0.9028571428571428,0.8315789473684211,0.9952513966480447,0.8657534246575342,0.9870026525198939,190,0.97366005,0.5632114,1.0,0.050397877984084884,0.046419098143236075
Vanessa cardui,5,125,8,45,3592,0.9398496240601504,0.7352941176470589,0.9977777777777778,0.8250825082508251,0.9859416445623342,170,0.95556986,0.4432507,1.0,0.04509283819628647,0.035278514588859416
Nymphalis antiopa,6,94,33,13,3630,0.7401574803149606,0.8785046728971962,0.990990990990991,0.8034188034188035,0.9877984084880637,107,0.97208893,0.55008084,1.0,0.028381962864721486,0.03368700265251989
Other,7,1699,313,111,1647,0.8444333996023857,0.9386740331491713,0.8403061224489796,0.8890633176347462,0.8875331564986737,1810,0.9834699,0.47447953,1.0,0.48010610079575594,0.5336870026525199
